id,category,title,image_url,source_page,suggested_use,alt_text,rights_note
01,Studio Craft,Potter at work on wheel,https://images.livemint.com/rf/Image-621x414/LiveMint/Period2/2017/09/30/Photos/Processed/pottervillage1-k6bG--621x414%40LiveMint.jpg,https://www.livemint.com/Leisure/qEiNqXcfSJnL6xgnaf8X5M/Kumhar-Gram-A-Song-of-Earth-and-Fire.html,Studio / Home / Home2,Potter at work on wheel — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
02,Studio Craft,Pottery wheel crafting,https://media.assettype.com/kanpurwants/2024-01/a63af82c-451e-417c-a194-4998f8ec193d/Solar_Craft_1.jpg?auto=format%2Ccompress&fit=max&w=640,https://www.kanpurwants.com/new-on-kanpurwants/get-to-know-all-about-this-pottery-studio-in-kanpur,Studio / Home / Home2,Pottery wheel crafting — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
03,Workshop,Pottery wheel workshop,https://www.iamalive.app/_next/image?q=75&url=https%3A%2F%2Fcdn.iamalive.app%2Fprocessed%2Fcard%2FMaati_sona_Shortlisted-156_20250807073408071ZZ.webp&w=1920,https://www.iamalive.app/experiences/pottery-workshop,Studio / Home2,Pottery wheel workshop — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
04,Studio Craft,Potter's wheel in Goa,https://media.assettype.com/gomantaktimes%2F2024-02%2F47ad32bd-10c2-42f4-b559-694a7cd25c84%2Fpo3.JPG,https://www.gomantaktimes.com/lifestyle/shaping-careers-with-the-potters-wheel-in-goa,Studio / Home / Home2,Potter's wheel in Goa — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
05,Studio Craft,Pottery workshop in Kodai Hills,https://cdn.shopify.com/s/files/1/2313/5161/files/IMG_20160823_133745_1024x1024.jpg?v=1505864873,https://www.trulylostsupply.com/blogs/field-journal/made-in-the-mountains,Studio / Home / Home2,Pottery workshop in Kodai Hills — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
06,Studio Craft,Community art studio potter,https://images.hindustantimes.com/rf/image_size_800x600/HT/p2/2016/08/03/Pictures/affordable-scholarships-sculptures-sculptures-tribhuwan-scholarships-affordable_c333bdb4-596e-11e6-92e9-543a978214ab.jpg,https://www.hindustantimes.com/delhi/garhi-art-haven-withers-away/story-R8a1MiQT0PVhi3PK32tZlO_amp.html,Studio / Home / Home2,Community art studio potter — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
07,Studio Craft,Slow Pottery wheel throwing,https://www.slowpottery.com/cdn/shop/files/IMG_0769_560x709.jpg?v=1723099866,https://www.slowpottery.com/,Studio / Home / Home2,Slow Pottery wheel throwing — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
08,Studio Craft,Potter at work in Auroville,https://potsandpieces.files.wordpress.com/2014/06/a1793-dsc03977.jpg,https://potsandpieces.wordpress.com/2014/06/06/the-dana-pottery-community-auroville-part-3-oil-burners/,Studio / Home / Home2,Potter at work in Auroville — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
09,Tableware,Sofia Ceramics tableware display,https://static.wixstatic.com/media/dc993f_97a6704693cb4fafbad5bdfbb5e1f3fa~mv2.jpg/v1/fill/w_980%2Ch_653%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/dc993f_97a6704693cb4fafbad5bdfbb5e1f3fa~mv2.jpg,https://www.sofiaceramics.com/,Shop / Collections / Home,Sofia Ceramics tableware display — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
10,Vessels,Speckled ceramic pouch vase,https://cdn.myikas.com/images/fd0e7424-d5fe-43c9-bc06-d2bbb1850aed/09a22244-1563-47e9-8ed5-5c7395b2889e/3840/cae0a930-d2ae-4ee0-92b0-ac7342c50a53-1-105-c.webp,https://bayrampasahobi.com/ham-seramik-kucuk-boy-benekli-kese-vazo,Shop / Collections / Artspace,Speckled ceramic pouch vase — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
11,Studio,Srishti Dube ceramic studio,https://s3images.coroflot.com/user_files/individual_files/avatars/large_avatar_619585_bpbx9plvlqod8vv5lahb6lzyx.jpg,https://www.coroflot.com/Srishtidube4,Website,Srishti Dube ceramic studio — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
12,Studio,Sandpoint ceramics studio showcase,https://static.wixstatic.com/media/ab9121_84519cc8d3e144a28798225bfaca7c50~mv2.jpg/v1/fill/w_980%2Ch_1307%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/SUITE%20203.jpg,https://www.sandpointceramics.com/,Website,Sandpoint ceramics studio showcase — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
13,Vessels,Handmade ceramic vase with dried stems,https://cdn.shopify.com/s/files/1/0601/4002/8137/files/Copy_of_Lea_Durie-54.jpg?v=1658565423,https://muddept.com/,Shop / Collections / Artspace,Handmade ceramic vase with dried stems — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
14,Vessels,Sand dune ceramic vase with tulips,https://www.authorceramics.com/cdn/shop/files/Poppy-Vase-Sand-Dune-15_940x.jpg?v=1715391659,https://www.authorceramics.com/collections/vases,Shop / Collections / Artspace,Sand dune ceramic vase with tulips — KADAVA ceramics image reference,Reference image: verify copyright/license or obtain permission before production reuse.
